protein_id	specimen_id	lower_limit_of_quantitation	protein_expression	quality_control	unit	upper_limit_of_quantitation
P48061	532	30.51758	185.52439	Pass	PG/ML	31249.99966
P78380	532	0.95367	103.95282	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	532	0.23842	3.04414	Pass	PG/ML	31250.0
P60568	532	0.11921	0.01128	Pass	PG/ML	3906.25003
Q07325	532	0.11921	78.13853	Pass	PG/ML	1953.12499
P01135	532	0.47684	4.16567	Pass	PG/ML	1953.12499
P01584	532	0.19073	0.14138	Pass	PG/ML	3125.00001
P05231	532	0.0596	2.36293	Pass	PG/ML	3906.25
P05112	532	0.0596	0.02126	Pass	PG/ML	3906.25
O43508	532	3.8147	331.33134	Pass	PG/ML	15625.00004
Q969D9	532	0.47684	nan	Pass	PG/ML	7812.50001
P51671	532	0.23842	287.09629	Pass	PG/ML	15624.99998
P14210	532	0.23842	115.5608	Pass	PG/ML	15624.99995
P49771	532	0.95367	73.99721	Pass	PG/ML	3906.25003
Q96PD4	532	0.23842	0.17433	Pass	PG/ML	3906.24998
P13232	532	0.23842	0.75331	Pass	PG/ML	1953.125
P35225	532	0.47684	0.12827	Pass	PG/ML	15625.00001
Q14116	532	0.95367	237.66037	Pass	PG/ML	15624.99996
Q99616	532	0.0596	277.53976	Pass	PG/ML	1953.125
P50591	532	0.95367	363.10368	Pass	PG/ML	7812.5
P02778	532	0.11921	84.73284	Pass	PG/ML	1953.12501
P01579	532	0.0298	0.0777	Pass	PG/ML	3906.25001
P22301	532	0.11921	5.98145	Pass	PG/ML	31250.00005
Q99731	532	0.95367	98.99321	Pass	PG/ML	1953.125
P01375	532	3.8147	13.65401	Pass	PG/ML	15625.00004
P40933	532	0.11921	11.99225	Pass	PG/ML	15624.99998
P10147	532	0.0298	3.54258	Pass	PG/ML	1953.125
P10145	532	0.23842	6.81313	Pass	PG/ML	1953.125
P39900	532	7.62939	252.91067	Pass	PG/ML	15624.9999
P04141	532	0.23842	0.23325	Pass	PG/ML	7812.50002
P09919	532	7.62939	121.7469	Pass	PG/ML	62500.00009
P15692	532	0.47684	144.42994	Pass	PG/ML	7812.50003
Q9P0M4	532	1.90735	81.66108	Pass	PG/ML	7812.5
P01133	532	0.47684	195.45806	Pass	PG/ML	976.5625
P13500	532	0.23842	254.77871	Pass	PG/ML	3906.25002
Q16552	532	0.11921	2.30661	Pass	PG/ML	15625.00005
P13725	532	0.11921	1.68895	Pass	PG/ML	1953.125
P09603	532	0.23842	101.76374	Pass	PG/ML	3906.24999
P13236	532	0.11921	63.97647	Pass	PG/ML	3906.25001
O14625	532	0.11921	387.26167	Pass	PG/ML	1953.12499
P01374	532	0.11921	8.27868	Pass	PG/ML	3906.25001
P80098	532	0.11921	2.01354	Pass	PG/ML	1953.125
P03956	532	0.95367	892.23424	Pass	PG/ML	7812.49998
P80075	650	0.0298	35.88164	Pass	PG/ML	1953.125
O95760	650	0.23842	0.08767	Pass	PG/ML	7812.50001
P48061	650	30.51758	246.34695	Pass	PG/ML	31249.99966
P78380	650	0.95367	72.26218	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	650	0.23842	4.68884	Pass	PG/ML	31250.0
P60568	650	0.11921	0.00567	Pass	PG/ML	3906.25003
Q07325	650	0.11921	42.88636	Pass	PG/ML	1953.12499
P01135	650	0.47684	4.5027	Pass	PG/ML	1953.12499
P01584	650	0.19073	0.13734	Pass	PG/ML	3125.00001
P05231	650	0.0596	0.99339	Pass	PG/ML	3906.25
P05112	650	0.0596	0.01094	Pass	PG/ML	3906.25
O43508	650	3.8147	401.19004	Pass	PG/ML	15625.00004
Q969D9	650	0.47684	0.16092	Pass	PG/ML	7812.50001
P51671	650	0.23842	237.71965	Pass	PG/ML	15624.99998
P14210	650	0.23842	131.59723	Pass	PG/ML	15624.99995
P49771	650	0.95367	86.4109	Pass	PG/ML	3906.25003
Q96PD4	650	0.23842	0.39403	Pass	PG/ML	3906.24998
P13232	650	0.23842	0.84826	Pass	PG/ML	1953.125
P35225	650	0.47684	0.10453	Pass	PG/ML	15625.00001
Q14116	650	0.95367	206.59473	Pass	PG/ML	15624.99996
Q99616	650	0.0596	295.24567	Pass	PG/ML	1953.125
P50591	650	0.95367	310.51376	Pass	PG/ML	7812.5
P02778	650	0.11921	73.22903	Pass	PG/ML	1953.12501
P01579	650	0.0298	0.23768	Pass	PG/ML	3906.25001
P22301	650	0.11921	6.13223	Pass	PG/ML	31250.00005
Q99731	650	0.95367	123.43881	Pass	PG/ML	1953.125
P01375	650	3.8147	12.23777	Pass	PG/ML	15625.00004
P40933	650	0.11921	8.47247	Pass	PG/ML	15624.99998
P10147	650	0.0298	3.92546	Pass	PG/ML	1953.125
P10145	650	0.23842	4.75167	Pass	PG/ML	1953.125
P39900	650	7.62939	364.21272	Pass	PG/ML	15624.9999
P04141	650	0.23842	0.07228	Pass	PG/ML	7812.50002
P09919	650	7.62939	34.42039	Pass	PG/ML	62500.00009
P15692	650	0.47684	155.14589	Pass	PG/ML	7812.50003
Q9P0M4	650	1.90735	16.9862	Pass	PG/ML	7812.5
P01133	650	0.47684	319.42696	Pass	PG/ML	976.5625
P13500	650	0.23842	217.2323	Pass	PG/ML	3906.25002
Q16552	650	0.11921	0.61094	Pass	PG/ML	15625.00005
P13725	650	0.11921	1.57419	Pass	PG/ML	1953.125
P09603	650	0.23842	117.39623	Pass	PG/ML	3906.24999
P13236	650	0.11921	76.31793	Pass	PG/ML	3906.25001
O14625	650	0.11921	524.24945	Pass	PG/ML	1953.12499
P01374	650	0.11921	10.0424	Pass	PG/ML	3906.25001
P80098	650	0.11921	1.43653	Pass	PG/ML	1953.125
P03956	650	0.95367	698.45055	Pass	PG/ML	7812.49998
P80075	630	0.0298	51.2335	Pass	PG/ML	1953.125
O95760	630	0.23842	0.09061	Pass	PG/ML	7812.50001
P48061	630	30.51758	228.03731	Pass	PG/ML	31249.99966
P78380	630	0.95367	81.97174	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	630	0.23842	7.27682	Pass	PG/ML	31250.0
P60568	630	0.11921	0.00859	Pass	PG/ML	3906.25003
Q07325	630	0.11921	101.81209	Pass	PG/ML	1953.12499
P01135	630	0.47684	5.729	Pass	PG/ML	1953.12499
P01584	630	0.19073	0.11936	Pass	PG/ML	3125.00001
P05231	630	0.0596	1.89895	Pass	PG/ML	3906.25
P05112	630	0.0596	0.01198	Pass	PG/ML	3906.25
O43508	630	3.8147	606.76	Pass	PG/ML	15625.00004
Q969D9	630	0.47684	0.21348	Pass	PG/ML	7812.50001
P51671	630	0.23842	226.57095	Pass	PG/ML	15624.99998
P14210	630	0.23842	122.74454	Pass	PG/ML	15624.99995
P49771	630	0.95367	85.04859	Pass	PG/ML	3906.25003
Q96PD4	630	0.23842	0.39038	Pass	PG/ML	3906.24998
P13232	630	0.23842	1.46531	Pass	PG/ML	1953.125
P35225	630	0.47684	0.12875	Pass	PG/ML	15625.00001
Q14116	630	0.95367	276.0402	Pass	PG/ML	15624.99996
Q99616	630	0.0596	300.12846	Pass	PG/ML	1953.125
P50591	630	0.95367	359.84761	Pass	PG/ML	7812.5
P02778	630	0.11921	95.76521	Pass	PG/ML	1953.12501
P01579	630	0.0298	0.49419	Pass	PG/ML	3906.25001
P22301	630	0.11921	4.67152	Pass	PG/ML	31250.00005
Q99731	630	0.95367	309.76934	Pass	PG/ML	1953.125
P01375	630	3.8147	14.95932	Pass	PG/ML	15625.00004
P40933	630	0.11921	8.3012	Pass	PG/ML	15624.99998
P10147	630	0.0298	4.37071	Pass	PG/ML	1953.125
P10145	630	0.23842	8.37763	Pass	PG/ML	1953.125
P39900	630	7.62939	296.84003	Pass	PG/ML	15624.9999
P04141	630	0.23842	0.22051	Pass	PG/ML	7812.50002
P09919	630	7.62939	116.91053	Pass	PG/ML	62500.00009
P15692	630	0.47684	208.54918	Pass	PG/ML	7812.50003
Q9P0M4	630	1.90735	33.25	Pass	PG/ML	7812.5
P01133	630	0.47684	425.52426	Pass	PG/ML	976.5625
P13500	630	0.23842	301.5545	Pass	PG/ML	3906.25002
Q16552	630	0.11921	1.09251	Pass	PG/ML	15625.00005
P13725	630	0.11921	1.4812	Pass	PG/ML	1953.125
P09603	630	0.23842	115.88781	Pass	PG/ML	3906.24999
P13236	630	0.11921	69.98763	Pass	PG/ML	3906.25001
O14625	630	0.11921	581.04115	Pass	PG/ML	1953.12499
P01374	630	0.11921	12.30224	Pass	PG/ML	3906.25001
P80098	630	0.11921	1.56824	Pass	PG/ML	1953.125
P03956	630	0.95367	1038.76933	Pass	PG/ML	7812.49998
P80075	585	0.0298	38.75846	Pass	PG/ML	1953.125
O95760	585	0.23842	0.08247	Pass	PG/ML	7812.50001
P48061	585	30.51758	176.5988	Pass	PG/ML	31249.99966
P78380	585	0.95367	90.95647	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	585	0.23842	5.83656	Pass	PG/ML	31250.0
P60568	585	0.11921	0.01521	Pass	PG/ML	3906.25003
Q07325	585	0.11921	36.48048	Pass	PG/ML	1953.12499
P01135	585	0.47684	4.93075	Pass	PG/ML	1953.12499
P01584	585	0.19073	0.11962	Pass	PG/ML	3125.00001
P05231	585	0.0596	1.59021	Pass	PG/ML	3906.25
P05112	585	0.0596	0.0104	Pass	PG/ML	3906.25
O43508	585	3.8147	281.58072	Pass	PG/ML	15625.00004
Q969D9	585	0.47684	0.02591	Pass	PG/ML	7812.50001
P51671	585	0.23842	145.67223	Pass	PG/ML	15624.99998
P14210	585	0.23842	136.67225	Pass	PG/ML	15624.99995
P49771	585	0.95367	73.75882	Pass	PG/ML	3906.25003
Q96PD4	585	0.23842	0.54722	Pass	PG/ML	3906.24998
P13232	585	0.23842	1.14816	Pass	PG/ML	1953.125
P35225	585	0.47684	3.31887	Pass	PG/ML	15625.00001
Q14116	585	0.95367	338.43083	Pass	PG/ML	15624.99996
Q99616	585	0.0596	110.50371	Pass	PG/ML	1953.125
P50591	585	0.95367	299.08054	Pass	PG/ML	7812.5
P02778	585	0.11921	60.50468	Pass	PG/ML	1953.12501
P01579	585	0.0298	0.23642	Pass	PG/ML	3906.25001
P22301	585	0.11921	2.93713	Pass	PG/ML	31250.00005
Q99731	585	0.95367	118.51445	Pass	PG/ML	1953.125
P01375	585	3.8147	11.41718	Pass	PG/ML	15625.00004
P40933	585	0.11921	13.39138	Pass	PG/ML	15624.99998
P10147	585	0.0298	3.04852	Pass	PG/ML	1953.125
P10145	585	0.23842	6.89775	Pass	PG/ML	1953.125
P39900	585	7.62939	129.95428	Pass	PG/ML	15624.9999
P04141	585	0.23842	0.1739	Pass	PG/ML	7812.50002
P09919	585	7.62939	113.19947	Pass	PG/ML	62500.00009
P15692	585	0.47684	273.50725	Pass	PG/ML	7812.50003
Q9P0M4	585	1.90735	10.88902	Pass	PG/ML	7812.5
P01133	585	0.47684	272.18668	Pass	PG/ML	976.5625
P13500	585	0.23842	229.63132	Pass	PG/ML	3906.25002
Q16552	585	0.11921	0.5402	Pass	PG/ML	15625.00005
P13725	585	0.11921	1.81712	Pass	PG/ML	1953.125
P09603	585	0.23842	125.4896	Pass	PG/ML	3906.24999
P13236	585	0.11921	26.52928	Pass	PG/ML	3906.25001
O14625	585	0.11921	324.80383	Pass	PG/ML	1953.12499
P01374	585	0.11921	10.56437	Pass	PG/ML	3906.25001
P80098	585	0.11921	1.8539	Pass	PG/ML	1953.125
P03956	585	0.95367	1126.71225	Pass	PG/ML	7812.49998
P80075	500	0.0298	80.25084	Pass	PG/ML	1953.125
O95760	500	0.23842	0.19645	Pass	PG/ML	7812.50001
P48061	500	30.51758	223.40666	Pass	PG/ML	31249.99966
P78380	500	0.95367	322.72108	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	500	0.23842	3.43496	Pass	PG/ML	31250.0
P60568	500	0.11921	0.0157	Pass	PG/ML	3906.25003
Q07325	500	0.11921	101.54415	Pass	PG/ML	1953.12499
P01135	500	0.47684	8.26608	Pass	PG/ML	1953.12499
P01584	500	0.19073	0.10495	Pass	PG/ML	3125.00001
P05231	500	0.0596	2.42593	Pass	PG/ML	3906.25
P05112	500	0.0596	0.01216	Pass	PG/ML	3906.25
O43508	500	3.8147	436.89903	Pass	PG/ML	15625.00004
Q969D9	500	0.47684	0.25961	Pass	PG/ML	7812.50001
P51671	500	0.23842	311.01217	Pass	PG/ML	15624.99998
P14210	500	0.23842	194.50531	Pass	PG/ML	15624.99995
P49771	500	0.95367	101.10567	Pass	PG/ML	3906.25003
Q96PD4	500	0.23842	0.18129	Pass	PG/ML	3906.24998
P13232	500	0.23842	0.68355	Pass	PG/ML	1953.125
P35225	500	0.47684	0.34743	Pass	PG/ML	15625.00001
Q14116	500	0.95367	322.20876	Pass	PG/ML	15624.99996
Q99616	500	0.0596	822.96177	Pass	PG/ML	1953.125
P50591	500	0.95367	555.77851	Pass	PG/ML	7812.5
P02778	500	0.11921	116.58989	Pass	PG/ML	1953.12501
P01579	500	0.0298	0.6071	Pass	PG/ML	3906.25001
P22301	500	0.11921	10.03622	Pass	PG/ML	31250.00005
Q99731	500	0.95367	306.13541	Pass	PG/ML	1953.125
P01375	500	3.8147	21.06656	Pass	PG/ML	15625.00004
P40933	500	0.11921	6.74624	Pass	PG/ML	15624.99998
P10147	500	0.0298	6.97544	Pass	PG/ML	1953.125
P10145	500	0.23842	9.10657	Pass	PG/ML	1953.125
P39900	500	7.62939	364.97025	Pass	PG/ML	15624.9999
P04141	500	0.23842	0.23827	Pass	PG/ML	7812.50002
P09919	500	7.62939	60.8004	Pass	PG/ML	62500.00009
P15692	500	0.47684	245.13132	Pass	PG/ML	7812.50003
Q9P0M4	500	1.90735	18.75886	Pass	PG/ML	7812.5
P01133	500	0.47684	224.63454	Pass	PG/ML	976.5625
P13500	500	0.23842	340.59102	Pass	PG/ML	3906.25002
Q16552	500	0.11921	0.5811	Pass	PG/ML	15625.00005
P13725	500	0.11921	4.83746	Pass	PG/ML	1953.125
P09603	500	0.23842	149.06756	Pass	PG/ML	3906.24999
P13236	500	0.11921	101.45568	Pass	PG/ML	3906.25001
O14625	500	0.11921	1181.96715	Pass	PG/ML	1953.12499
P01374	500	0.11921	12.03862	Pass	PG/ML	3906.25001
P80098	500	0.11921	1.99481	Pass	PG/ML	1953.125
P03956	500	0.95367	499.65854	Pass	PG/ML	7812.49998
P80075	653	0.0298	25.90386	Pass	PG/ML	1953.125
O95760	653	0.23842	0.07804	Pass	PG/ML	7812.50001
P48061	653	30.51758	219.5201	Pass	PG/ML	31249.99966
P78380	653	0.95367	39.7632	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	653	0.23842	4.17796	Pass	PG/ML	31250.0
P60568	653	0.11921	0.01271	Pass	PG/ML	3906.25003
Q07325	653	0.11921	42.61121	Pass	PG/ML	1953.12499
P01135	653	0.47684	4.17083	Pass	PG/ML	1953.12499
P01584	653	0.19073	0.14408	Pass	PG/ML	3125.00001
P05231	653	0.0596	1.43175	Pass	PG/ML	3906.25
P05112	653	0.0596	0.0111	Pass	PG/ML	3906.25
O43508	653	3.8147	409.50277	Pass	PG/ML	15625.00004
Q969D9	653	0.47684	0.09292	Pass	PG/ML	7812.50001
P51671	653	0.23842	204.95631	Pass	PG/ML	15624.99998
P14210	653	0.23842	122.02068	Pass	PG/ML	15624.99995
P49771	653	0.95367	87.38612	Pass	PG/ML	3906.25003
Q96PD4	653	0.23842	0.49579	Pass	PG/ML	3906.24998
P13232	653	0.23842	0.69533	Pass	PG/ML	1953.125
P35225	653	0.47684	0.01715	Pass	PG/ML	15625.00001
Q14116	653	0.95367	215.77445	Pass	PG/ML	15624.99996
Q99616	653	0.0596	198.509	Pass	PG/ML	1953.125
P50591	653	0.95367	335.47701	Pass	PG/ML	7812.5
P02778	653	0.11921	119.00021	Pass	PG/ML	1953.12501
P01579	653	0.0298	0.32203	Pass	PG/ML	3906.25001
P22301	653	0.11921	6.31893	Pass	PG/ML	31250.00005
Q99731	653	0.95367	109.23133	Pass	PG/ML	1953.125
P01375	653	3.8147	13.5788	Pass	PG/ML	15625.00004
P40933	653	0.11921	9.2498	Pass	PG/ML	15624.99998
P10147	653	0.0298	3.28034	Pass	PG/ML	1953.125
P10145	653	0.23842	3.52065	Pass	PG/ML	1953.125
P39900	653	7.62939	262.29127	Pass	PG/ML	15624.9999
P04141	653	0.23842	0.09451	Pass	PG/ML	7812.50002
P09919	653	7.62939	58.50112	Pass	PG/ML	62500.00009
P15692	653	0.47684	138.18708	Pass	PG/ML	7812.50003
Q9P0M4	653	1.90735	9.15732	Pass	PG/ML	7812.5
P01133	653	0.47684	201.95096	Pass	PG/ML	976.5625
P13500	653	0.23842	209.77442	Pass	PG/ML	3906.25002
Q16552	653	0.11921	0.48997	Pass	PG/ML	15625.00005
P13725	653	0.11921	0.8921	Pass	PG/ML	1953.125
P09603	653	0.23842	122.08978	Pass	PG/ML	3906.24999
P13236	653	0.11921	63.10201	Pass	PG/ML	3906.25001
O14625	653	0.11921	401.84978	Pass	PG/ML	1953.12499
P01374	653	0.11921	11.18417	Pass	PG/ML	3906.25001
P80098	653	0.11921	1.31483	Pass	PG/ML	1953.125
P03956	653	0.95367	388.22907	Pass	PG/ML	7812.49998
P80075	636	0.0298	28.31445	Pass	PG/ML	1953.125
O95760	636	0.23842	0.41888	Pass	PG/ML	7812.50001
P48061	636	30.51758	183.79816	Pass	PG/ML	31249.99966
P78380	636	0.95367	35.56638	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	636	0.23842	8.51896	Pass	PG/ML	31250.0
P60568	636	0.11921	0.00749	Pass	PG/ML	3906.25003
Q07325	636	0.11921	42.23125	Pass	PG/ML	1953.12499
P01135	636	0.47684	4.56577	Pass	PG/ML	1953.12499
P01584	636	0.19073	0.06721	Pass	PG/ML	3125.00001
P05231	636	0.0596	2.10043	Pass	PG/ML	3906.25
P05112	636	0.0596	0.02014	Pass	PG/ML	3906.25
O43508	636	3.8147	309.03853	Pass	PG/ML	15625.00004
Q969D9	636	0.47684	0.1403	Pass	PG/ML	7812.50001
P51671	636	0.23842	330.41132	Pass	PG/ML	15624.99998
P14210	636	0.23842	103.36147	Pass	PG/ML	15624.99995
P49771	636	0.95367	74.18263	Pass	PG/ML	3906.25003
Q96PD4	636	0.23842	2.26284	Pass	PG/ML	3906.24998
P13232	636	0.23842	0.55961	Pass	PG/ML	1953.125
P35225	636	0.47684	0.4976	Pass	PG/ML	15625.00001
Q14116	636	0.95367	1039.87241	Pass	PG/ML	15624.99996
Q99616	636	0.0596	516.53578	Pass	PG/ML	1953.125
P50591	636	0.95367	367.52967	Pass	PG/ML	7812.5
P02778	636	0.11921	68.36887	Pass	PG/ML	1953.12501
P01579	636	0.0298	0.29753	Pass	PG/ML	3906.25001
P22301	636	0.11921	8.23181	Pass	PG/ML	31250.00005
Q99731	636	0.95367	1369.95206	Pass	PG/ML	1953.125
P01375	636	3.8147	10.7956	Pass	PG/ML	15625.00004
P40933	636	0.11921	8.65492	Pass	PG/ML	15624.99998
P10147	636	0.0298	4.19565	Pass	PG/ML	1953.125
P10145	636	0.23842	4.46265	Pass	PG/ML	1953.125
P39900	636	7.62939	268.27634	Pass	PG/ML	15624.9999
P04141	636	0.23842	0.16281	Pass	PG/ML	7812.50002
P09919	636	7.62939	77.83801	Pass	PG/ML	62500.00009
P15692	636	0.47684	187.50121	Pass	PG/ML	7812.50003
Q9P0M4	636	1.90735	13.87263	Pass	PG/ML	7812.5
P01133	636	0.47684	89.1186	Pass	PG/ML	976.5625
P13500	636	0.23842	279.45811	Pass	PG/ML	3906.25002
Q16552	636	0.11921	0.79454	Pass	PG/ML	15625.00005
P13725	636	0.11921	0.69509	Pass	PG/ML	1953.125
P09603	636	0.23842	117.82893	Pass	PG/ML	3906.24999
P13236	636	0.11921	65.61031	Pass	PG/ML	3906.25001
O14625	636	0.11921	297.4991	Pass	PG/ML	1953.12499
P01374	636	0.11921	6.93606	Pass	PG/ML	3906.25001
P80098	636	0.11921	1.78842	Pass	PG/ML	1953.125
P03956	636	0.95367	210.53975	Pass	PG/ML	7812.49998
P80075	510	0.0298	35.95712	Pass	PG/ML	1953.125
O95760	510	0.23842	0.49593	Pass	PG/ML	7812.50001
P48061	510	30.51758	154.45583	Pass	PG/ML	31249.99966
P78380	510	0.95367	82.71733	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	510	0.23842	5.21462	Pass	PG/ML	31250.0
P60568	510	0.11921	0.00335	Pass	PG/ML	3906.25003
Q07325	510	0.11921	43.56674	Pass	PG/ML	1953.12499
P01135	510	0.47684	4.70967	Pass	PG/ML	1953.12499
P01584	510	0.19073	0.13242	Pass	PG/ML	3125.00001
P05231	510	0.0596	7.64064	Pass	PG/ML	3906.25
P05112	510	0.0596	0.00974	Pass	PG/ML	3906.25
O43508	510	3.8147	289.54611	Pass	PG/ML	15625.00004
Q969D9	510	0.47684	0.29786	Pass	PG/ML	7812.50001
P51671	510	0.23842	54.42296	Pass	PG/ML	15624.99998
P14210	510	0.23842	169.39879	Pass	PG/ML	15624.99995
P49771	510	0.95367	158.14177	Pass	PG/ML	3906.25003
Q96PD4	510	0.23842	0.57317	Pass	PG/ML	3906.24998
P13232	510	0.23842	0.67626	Pass	PG/ML	1953.125
P35225	510	0.47684	0.36011	Pass	PG/ML	15625.00001
Q14116	510	0.95367	212.00604	Pass	PG/ML	15624.99996
Q99616	510	0.0596	73.33313	Pass	PG/ML	1953.125
P50591	510	0.95367	402.46517	Pass	PG/ML	7812.5
P02778	510	0.11921	77.22316	Pass	PG/ML	1953.12501
P01579	510	0.0298	0.31697	Pass	PG/ML	3906.25001
P22301	510	0.11921	4.66321	Pass	PG/ML	31250.00005
Q99731	510	0.95367	94.45236	Pass	PG/ML	1953.125
P01375	510	3.8147	12.97784	Pass	PG/ML	15625.00004
P40933	510	0.11921	14.37509	Pass	PG/ML	15624.99998
P10147	510	0.0298	5.31747	Pass	PG/ML	1953.125
P10145	510	0.23842	7.88346	Pass	PG/ML	1953.125
P39900	510	7.62939	210.89867	Pass	PG/ML	15624.9999
P04141	510	0.23842	0.1144	Pass	PG/ML	7812.50002
P09919	510	7.62939	294.18202	Pass	PG/ML	62500.00009
P15692	510	0.47684	257.74418	Pass	PG/ML	7812.50003
Q9P0M4	510	1.90735	17.33533	Pass	PG/ML	7812.5
P01133	510	0.47684	174.3607	Pass	PG/ML	976.5625
P13500	510	0.23842	239.99611	Pass	PG/ML	3906.25002
Q16552	510	0.11921	0.87208	Pass	PG/ML	15625.00005
P13725	510	0.11921	2.32555	Pass	PG/ML	1953.125
P09603	510	0.23842	121.26194	Pass	PG/ML	3906.24999
P13236	510	0.11921	64.09478	Pass	PG/ML	3906.25001
O14625	510	0.11921	97.65627	Pass	PG/ML	1953.12499
P01374	510	0.11921	4.21046	Pass	PG/ML	3906.25001
P80098	510	0.11921	0.54376	Pass	PG/ML	1953.125
P03956	510	0.95367	1043.05435	Pass	PG/ML	7812.49998
P80075	587	0.0298	43.32949	Pass	PG/ML	1953.125
O95760	587	0.23842	0.01516	Pass	PG/ML	7812.50001
P48061	587	30.51758	174.41885	Pass	PG/ML	31249.99966
P78380	587	0.95367	70.93643	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	587	0.23842	7.84187	Pass	PG/ML	31250.0
P60568	587	0.11921	0.02814	Pass	PG/ML	3906.25003
Q07325	587	0.11921	37.84607	Pass	PG/ML	1953.12499
P01135	587	0.47684	5.39271	Pass	PG/ML	1953.12499
P01584	587	0.19073	0.18465	Pass	PG/ML	3125.00001
P05231	587	0.0596	1.26734	Pass	PG/ML	3906.25
P05112	587	0.0596	0.01103	Pass	PG/ML	3906.25
O43508	587	3.8147	284.73387	Pass	PG/ML	15625.00004
Q969D9	587	0.47684	nan	Pass	PG/ML	7812.50001
P51671	587	0.23842	134.21082	Pass	PG/ML	15624.99998
P14210	587	0.23842	135.07042	Pass	PG/ML	15624.99995
P49771	587	0.95367	105.77696	Pass	PG/ML	3906.25003
Q96PD4	587	0.23842	0.37506	Pass	PG/ML	3906.24998
P13232	587	0.23842	1.32629	Pass	PG/ML	1953.125
P35225	587	0.47684	3.12234	Pass	PG/ML	15625.00001
Q14116	587	0.95367	318.52234	Pass	PG/ML	15624.99996
Q99616	587	0.0596	137.2514	Pass	PG/ML	1953.125
P50591	587	0.95367	331.23685	Pass	PG/ML	7812.5
P02778	587	0.11921	79.79692	Pass	PG/ML	1953.12501
P01579	587	0.0298	0.35235	Pass	PG/ML	3906.25001
P22301	587	0.11921	4.30476	Pass	PG/ML	31250.00005
Q99731	587	0.95367	173.49556	Pass	PG/ML	1953.125
P01375	587	3.8147	10.9227	Pass	PG/ML	15625.00004
P40933	587	0.11921	13.81544	Pass	PG/ML	15624.99998
P10147	587	0.0298	3.65507	Pass	PG/ML	1953.125
P10145	587	0.23842	5.57388	Pass	PG/ML	1953.125
P39900	587	7.62939	143.75496	Pass	PG/ML	15624.9999
P04141	587	0.23842	0.20437	Pass	PG/ML	7812.50002
P09919	587	7.62939	66.36858	Pass	PG/ML	62500.00009
P15692	587	0.47684	266.28825	Pass	PG/ML	7812.50003
Q9P0M4	587	1.90735	7.964	Pass	PG/ML	7812.5
P01133	587	0.47684	358.74183	Pass	PG/ML	976.5625
P13500	587	0.23842	226.53854	Pass	PG/ML	3906.25002
Q16552	587	0.11921	0.49626	Pass	PG/ML	15625.00005
P13725	587	0.11921	1.6163	Pass	PG/ML	1953.125
P09603	587	0.23842	123.39904	Pass	PG/ML	3906.24999
P13236	587	0.11921	31.08924	Pass	PG/ML	3906.25001
O14625	587	0.11921	388.7762	Pass	PG/ML	1953.12499
P01374	587	0.11921	8.64751	Pass	PG/ML	3906.25001
P80098	587	0.11921	2.68594	Pass	PG/ML	1953.125
P03956	587	0.95367	1451.34067	Pass	PG/ML	7812.49998
P80075	508	0.0298	51.89866	Pass	PG/ML	1953.125
O95760	508	0.23842	0.32723	Pass	PG/ML	7812.50001
P48061	508	30.51758	185.09826	Pass	PG/ML	31249.99966
P78380	508	0.95367	109.27868	Pass	PG/ML	3906.25002
Q8NEV9_Q14213	508	0.23842	4.56886	Pass	PG/ML	31250.0
P60568	508	0.11921	0.02002	Pass	PG/ML	3906.25003
Q07325	508	0.11921	48.86746	Pass	PG/ML	1953.12499
P01135	508	0.47684	4.39955	Pass	PG/ML	1953.12499
P01584	508	0.19073	0.19694	Pass	PG/ML	3125.00001
P05231	508	0.0596	11.7129	Pass	PG/ML	3906.25
P05112	508	0.0596	0.00981	Pass	PG/ML	3906.25
O43508	508	3.8147	274.81239	Pass	PG/ML	15625.00004
Q969D9	508	0.47684	0.24599	Pass	PG/ML	7812.50001
P51671	508	0.23842	47.72926	Pass	PG/ML	15624.99998
P14210	508	0.23842	164.8155	Pass	PG/ML	15624.99995
P49771	508	0.95367	123.19631	Pass	PG/ML	3906.25003
Q96PD4	508	0.23842	0.4512	Pass	PG/ML	3906.24998
P13232	508	0.23842	1.07134	Pass	PG/ML	1953.125
P35225	508	0.47684	0.2246	Pass	PG/ML	15625.00001
Q14116	508	0.95367	194.41743	Pass	PG/ML	15624.99996
Q99616	508	0.0596	115.54534	Pass	PG/ML	1953.125
P50591	508	0.95367	350.97791	Pass	PG/ML	7812.5
P02778	508	0.11921	99.3234	Pass	PG/ML	1953.12501
P01579	508	0.0298	0.39176	Pass	PG/ML	3906.25001
P22301	508	0.11921	2.97347	Pass	PG/ML	31250.00005
Q99731	508	0.95367	131.49965	Pass	PG/ML	1953.125
P01375	508	3.8147	11.31701	Pass	PG/ML	15625.00004
P40933	508	0.11921	11.80122	Pass	PG/ML	15624.99998
P10147	508	0.0298	5.99973	Pass	PG/ML	1953.125
P10145	508	0.23842	6.89278	Pass	PG/ML	1953.125
